w Aex Asm
1.730425e+01 2.860002e-04 2.870938e-04
1.734459e+01 2.834461e-04 2.845445e-04
1.738492e+01 2.809265e-04 2.820484e-04
1.742525e+01 2.784408e-04 2.795837e-04
1.746559e+01 2.759883e-04 2.771198e-04
1.750592e+01 2.735685e-04 2.746505e-04
1.754626e+01 2.711807e-04 2.721967e-04
1.758659e+01 2.688245e-04 2.697811e-04
1.762693e+01 2.664992e-04 2.674183e-04
1.766726e+01 2.642043e-04 2.651170e-04
1.770760e+01 2.619392e-04 2.628799e-04
1.774793e+01 2.597035e-04 2.607036e-04
1.778827e+01 2.574967e-04 2.585845e-04
1.782860e+01 2.553181e-04 2.565227e-04
1.786894e+01 2.531674e-04 2.545147e-04
1.790927e+01 2.510440e-04 2.525526e-04
1.794960e+01 2.489476e-04 2.506357e-04
1.798994e+01 2.468775e-04 2.487632e-04
1.803027e+01 2.448335e-04 2.469101e-04
1.807061e+01 2.428150e-04 2.450248e-04
1.811094e+01 2.408217e-04 2.430578e-04
1.815128e+01 2.388530e-04 2.409986e-04
1.819161e+01 2.369086e-04 2.388829e-04
1.823195e+01 2.349882e-04 2.367600e-04
1.827228e+01 2.330912e-04 2.346645e-04
1.831262e+01 2.312173e-04 2.326139e-04
1.835295e+01 2.293662e-04 2.306106e-04
1.839328e+01 2.275374e-04 2.286478e-04
1.843362e+01 2.257307e-04 2.267231e-04
1.847395e+01 2.239456e-04 2.248401e-04
1.851429e+01 2.221818e-04 2.230000e-04
1.855462e+01 2.204389e-04 2.211993e-04
1.859496e+01 2.187167e-04 2.194299e-04
1.863529e+01 2.170147e-04 2.176854e-04
1.867563e+01 2.153327e-04 2.159669e-04
1.871596e+01 2.136704e-04 2.142788e-04
1.875630e+01 2.120275e-04 2.126211e-04
1.879663e+01 2.104036e-04 2.109900e-04
1.883697e+01 2.087984e-04 2.093821e-04
1.887730e+01 2.072117e-04 2.077984e-04
1.891763e+01 2.056432e-04 2.062430e-04
1.895797e+01 2.040926e-04 2.047146e-04
1.899830e+01 2.025596e-04 2.032009e-04
1.903864e+01 2.010440e-04 2.016840e-04
1.907897e+01 1.995455e-04 2.001544e-04
1.911931e+01 1.980638e-04 1.986226e-04
1.915964e+01 1.965987e-04 1.971063e-04
1.919998e+01 1.951499e-04 1.956154e-04
1.924031e+01 1.937172e-04 1.941496e-04
1.928065e+01 1.923004e-04 1.927044e-04
1.932098e+01 1.908991e-04 1.912773e-04
1.936132e+01 1.895133e-04 1.898676e-04
1.940165e+01 1.881426e-04 1.884750e-04
1.944198e+01 1.867869e-04 1.870983e-04
1.948232e+01 1.854459e-04 1.857373e-04
1.952265e+01 1.841194e-04 1.843928e-04
1.956299e+01 1.828071e-04 1.830657e-04
1.960332e+01 1.815090e-04 1.817564e-04
1.964366e+01 1.802247e-04 1.804648e-04
1.968399e+01 1.789542e-04 1.791903e-04
1.972433e+01 1.776971e-04 1.779336e-04
1.976466e+01 1.764533e-04 1.766957e-04
1.980500e+01 1.752227e-04 1.754784e-04
1.984533e+01 1.740049e-04 1.742824e-04
1.988566e+01 1.728000e-04 1.731069e-04
1.992600e+01 1.716075e-04 1.719451e-04
1.996633e+01 1.704275e-04 1.707828e-04
2.000667e+01 1.692597e-04 1.696084e-04
2.004700e+01 1.681039e-04 1.684269e-04
2.008734e+01 1.669600e-04 1.672522e-04
2.012767e+01 1.658279e-04 1.660933e-04
2.016801e+01 1.647073e-04 1.649530e-04
2.020834e+01 1.635980e-04 1.638307e-04
2.024868e+01 1.625001e-04 1.627251e-04
2.028901e+01 1.614132e-04 1.616353e-04
2.032935e+01 1.603373e-04 1.605611e-04
2.036968e+01 1.592721e-04 1.595000e-04
2.041001e+01 1.582177e-04 1.584467e-04
2.045035e+01 1.571737e-04 1.573990e-04
2.049068e+01 1.561401e-04 1.563610e-04
2.053102e+01 1.551167e-04 1.553382e-04
2.057135e+01 1.541034e-04 1.543336e-04
2.061169e+01 1.531001e-04 1.533488e-04
2.065202e+01 1.521066e-04 1.523847e-04
2.069236e+01 1.511228e-04 1.514430e-04
2.073269e+01 1.501486e-04 1.505243e-04
2.077303e+01 1.491838e-04 1.496240e-04
2.081336e+01 1.482284e-04 1.487224e-04
2.085370e+01 1.472822e-04 1.477920e-04
2.089403e+01 1.463450e-04 1.468277e-04
2.093436e+01 1.454168e-04 1.458526e-04
2.097470e+01 1.444975e-04 1.448871e-04
2.101503e+01 1.435869e-04 1.439332e-04
2.105537e+01 1.426850e-04 1.429867e-04
2.109570e+01 1.417916e-04 1.420498e-04
2.113604e+01 1.409066e-04 1.411284e-04
2.117637e+01 1.400299e-04 1.402247e-04
2.121671e+01 1.391614e-04 1.393367e-04
2.125704e+01 1.383010e-04 1.384602e-04
2.129738e+01 1.374486e-04 1.375917e-04
2.133771e+01 1.366041e-04 1.367310e-04
2.137804e+01 1.357674e-04 1.358799e-04
2.141838e+01 1.349385e-04 1.350392e-04
2.145871e+01 1.341171e-04 1.342085e-04
2.149905e+01 1.333033e-04 1.333870e-04
2.153938e+01 1.324968e-04 1.325741e-04
2.157972e+01 1.316978e-04 1.317694e-04
2.162005e+01 1.309059e-04 1.309727e-04
2.166039e+01 1.301213e-04 1.301839e-04
2.170072e+01 1.293436e-04 1.294028e-04
2.174106e+01 1.285730e-04 1.286292e-04
2.178139e+01 1.278093e-04 1.278628e-04
2.182173e+01 1.270524e-04 1.271037e-04
2.186206e+01 1.263023e-04 1.263515e-04
2.190239e+01 1.255588e-04 1.256062e-04
2.194273e+01 1.248219e-04 1.248677e-04
2.198306e+01 1.240915e-04 1.241358e-04
2.202340e+01 1.233675e-04 1.234104e-04
2.206373e+01 1.226498e-04 1.226915e-04
2.210407e+01 1.219385e-04 1.219790e-04
